Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),CC3 Count,CC3 Density,Ly6G Count,Ly6G Density,CC3 LP,CC3 LP Density,Ly6G LP,Ly6G LP Density
2d,LPS,C,B,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_CS_B.nd2,147047,0.147047,,,7,47.6038273477188,10,68.0054676395982,0,0,24,163.213122335036
2d,LPS,C,N,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_CS_N.nd2,35591,0.035591,,,0,0,0,0,0,0,0,0
2d,LPS,C,T,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_CS_T.nd2,105129,0.105129,,,9,85.6091088091773,0,0,0,0,8,76.0969856081576
2d,LPS,C,M,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_M_N.nd2,36055,0.036055,,,1,27.7354042435168,1,27.7354042435168,0,0,5,138.677021217584
2d,LPS,C,X,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_M_X.nd2,45830,0.04583,,,2,43.6395374209033,0,0,0,0,0,0
2d,LPS,T,M,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_M_N.nd2,57322,0.057322,,,11,191.898398520638,41,715.257667213286,0,0,11,191.898398520638
2d,LPS,T,X,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_M_X.nd2,52254,0.052254,,,2,38.2745818501933,0,0,0,0,2,38.2745818501933
2d,LPS,T,B,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_TS_B.nd2,124305,0.124305,,,19,152.849845138973,91,732.070310928764,0,0,46,370.057519810144
2d,LPS,T,N,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_TS_N.nd2,31242,0.031242,,,1,32.008194097689,3,96.024582293067,0,0,0,0
2d,LPS,T,T,20260311_LPS_2d_gCC3_rLy66_frNQO1_20x_TS_T.nd2,155820,0.15582,,,47,301.630085996663,169,1084.58477730715,0,0,145,930.560903606726
