Time,Condition,Injection,Section,FileName,OE Area (um^2),OE Area (mm^2),LP Area (um^2),LP Area (mm^2),S100A9 Count,S100A9 Density,S100A9 in LP,S100A9 LP Density,CD3 Count,CD3 Density,CD3 In LP,CD3 LP Density
2d,LPS,C,B,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_CS_B.nd2,96664,0.096664,,0,27,279.318050153108,25,258.62782421584,11,113.79624265497,8,82.7609037490689
2d,LPS,C,N,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_CS_N.nd2,145599,0.145599,,0,4,27.4727161587648,6,41.2090742381472,0,0,3,20.6045371190736
2d,LPS,C,T,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_CS_T.nd2,63093,0.063093,,0,3,47.5488564500024,8,126.79695053334,0,0,0,0
2d,LPS,C,M,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_M_N.nd2,44092,0.044092,,0,0,0,0,0,0,0,0,0
2d,LPS,C,X,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_M_X.nd2,73672,0.073672,,0,0,0,0,0,0,0,0,0
2d,LPS,T,M,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_M_N.nd2,48273,0.048273,,0,0,0,0,0,0,0,0,0
2d,LPS,T,X,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_M_X.nd2,61226,0.061226,,0,0,0,0,0,0,0,0,0
2d,LPS,T,B,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_TS_B.nd2,111490,0.11149,,0,12,107.632971566957,53,475.378957754059,8,71.7553143779711,64,574.042515023769
2d,LPS,T,N,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_TS_N.nd2,55538,0.055538,,0,0,0,8,144.045518383809,0,0,2,36.0113795959523
2d,LPS,T,T,20260311_LPS_2d_gS100A9_rCD3_frNQO1_20x_TS_T.nd2,128367,0.128367,,0,10,77.901641387584,11,85.6918055263424,9,70.1114772488256,53,412.878699354195
5d,LPS,C,B,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_CS_B.nd2,152845,0.152845,,0,14,91.5960613693611,46,300.958487356472,45,294.415911544375,99,647.715005397625
5d,LPS,C,N,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_CS_N.nd2,152923,0.152923,,0,0,0,0,0,0,0,0,0
5d,LPS,C,T,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_CS_T.nd2,104579,0.104579,,0,3,28.6864475659549,11,105.183641075168,2,19.1242983773033,29,277.302326470898
5d,LPS,C,M,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_M_N.nd2,54099,0.054099,,0,0,0,0,0,0,0,4,73.9385201205198
5d,LPS,C,X,20260311_LPS_5d_gS100A9_rCD3_frNQO1_20x_M_X.nd2,102503,0.102503,,0,4,39.0232481000556,25,243.895300625348,1,9.7558120250139,0,0
